exercise_id,name,description,duration_sec,objective,difficulty,intensity,noise_level,sweat_factor,is_clothing_safe,posture_benefit,injury_risk,discreetness,time_to_start,energy_type,tools,video_link,image_url
1,"Seated Leg Raises","Straighten one leg at a time while sitting to engage the quadriceps.",45,"Strength","Easy","Low","Silent","None",true,"Moderate","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
2,"Seated Knee-to-Chest","Pull one knee toward your chest while sitting to activate the abdominal muscles.",60,"Strength","Medium","Low","Low","Low",true,"Moderate","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
3,"Seated Reverse Crunches","Lift both knees together toward your chest while holding the chair for stability.",60,"Strength","Hard","Moderate","Low","Low",true,"Low","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
4,"Seated Spine Twists","Rotate your torso slowly from side to side while seated to stretch the back.",60,"Stretch","Easy","Very Low","Silent","None",true,"Very High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
5,"Seated Glute Squeezes","Contract and hold your gluteal muscles while sitting to activate the posterior chain.",60,"Activate","Easy","Low","Silent","None",true,"Low","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
6,"Seated Flutter Kicks","Extend legs and move them up and down in a small, rapid motion while seated.",60,"Burn","Medium","Moderate","Noticeable","Low",true,"Moderate","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
7,"Seated Figure-4 Stretch","Cross one ankle over the opposite knee and lean forward to stretch the hips.",120,"Stretch","Easy","Very Low","Silent","None",true,"High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
8,"Seated Calf Raises","Lift your heels off the ground while sitting to activate the calf muscles.",60,"Activate","Easy","Very Low","Silent","None",true,"Low","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
9,"Seated Shoulder Shrugs","Lift your shoulders toward your ears and release to relieve tension in the traps.",45,"Mobility","Easy","Very Low","Silent","None",true,"High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
10,"Seated Cat-Cow","Arch and round your back while seated to improve spinal mobility.",60,"Mobility","Easy","Very Low","Low","None",true,"Very High","Low","Moderate","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
11,"Seated Bicep Curls","Mimic a curling motion with your arms to engage the biceps while sitting.",60,"Build","Easy","Low","Low","Low",true,"Low","Low","High","Very Low","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
12,"Magic Carpet Ride","Lift your body off the chair using your arms and core for an isometric hold.",30,"Strength","Hard","High","Silent","Low",true,"Moderate","Moderate","Low","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
13,"Desk Push-ups","Perform a push-up leaning against the edge of a sturdy desk.",60,"Strength","Medium","Moderate","Noticeable","Moderate",true,"Moderate","Moderate","Low","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
14,"Desk Plank","Hold a plank position with your forearms resting on the desk surface.",60,"Stability","Medium","Moderate","Silent","Low",true,"High","Low","Moderate","None","Neutral","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
15,"Desk Tricep Dips","Use the edge of the desk to lower and raise your body using your triceps.",60,"Build","Hard","High","Noticeable","Moderate",true,"Low","Moderate","Low","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
16,"Desk Chest Stretch","Place hands on the desk and step back, dropping your head between arms to stretch the chest.",45,"Stretch","Easy","Very Low","Silent","None",true,"Very High","Low","Moderate","None","Relaxing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
17,"Desk Forearm Stretch","Pull fingers back against the desk or press palms together to stretch the wrists.",30,"Rehab","Easy","Very Low","Silent","None",true,"Very Low","Low","High","None","Relaxing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
18,"Desk Wrist Rolls","Rotate your wrists in circular motions while resting your forearms on the desk.",30,"Mobility","Easy","Very Low","Silent","None",true,"Very Low","Low","High","None","Neutral","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
19,"Desk Mountain Climbers","Bring knees toward the desk in a running motion while leaning on the desk.",60,"Cardio","Hard","High","Noticeable","High",false,"Moderate","Moderate","Low","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
20,"Desk Oblique Twists","Lean on the desk and rotate your hips from side to side to engage the side abs.",60,"Mobility","Medium","Low","Low","Low",true,"High","Low","Moderate","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
21,"Desk Heel Raises","Stand behind your desk and lift your heels while using the desk for balance.",60,"Strength","Easy","Low","Low","None",true,"Moderate","Low","High","None","Neutral","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
22,"Desk Standing Fold","Lean forward from the hips with hands on the desk to stretch the hamstrings.",60,"Stretch","Medium","Low","Silent","None",true,"High","Moderate","Low","None","Relaxing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
23,"Desk Finger Stretches","Spread fingers wide and press them against the desk surface to relieve hand tension.",30,"Rehab","Easy","Very Low","Silent","None",true,"Very Low","Low","High","None","Relaxing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
24,"Desk Isometric Press","Press your palms against the desk with maximum force for a chest hold.",45,"Stability","Easy","Low","Silent","None",true,"Moderate","Low","High","None","Neutral","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
25,"Wall Sit","Lean your back against a wall and lower into a squat position, holding it isometrically.",60,"Strength","Hard","High","Silent","Moderate",true,"High","Low","Low","None","Neutral","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
26,"Wall Push-ups","Stand facing a wall and perform push-ups by pressing away from it.",60,"Strength","Easy","Low","Noticeable","Low",true,"Moderate","Low","Low","None","Energizing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
27,"Wall Chest Opener","Place one arm against a wall and rotate your body away to stretch the pectoral muscles.",45,"Stretch","Easy","Very Low","Silent","None",true,"Very High","Low","Moderate","None","Relaxing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
28,"Wall Slides","Press your back and arms against a wall and slide your arms up and down.",60,"Mobility","Medium","Low","Low","Low",true,"Very High","Low","Low","None","Energizing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
29,"Wall Calf Stretch","Place hands on a wall and step one foot back, pressing the heel down to stretch the calf.",45,"Stretch","Easy","Very Low","Silent","None",true,"Moderate","Low","Moderate","None","Relaxing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
30,"Wall Tricep Stretch","Place an elbow against the wall and lean in to stretch the back of the arm.",45,"Stretch","Easy","Very Low","Silent","None",true,"Moderate","Low","Moderate","None","Relaxing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
31,"Wall Angels","Mimic snow angels with your back and arms flat against a wall to improve shoulder mobility.",60,"Mobility","Hard","Moderate","Low","Low",true,"Very High","Low","Low","None","Energizing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
32,"Wall Hip Flexor Stretch","Stand with one foot against a wall and lunge forward to stretch the hip area.",60,"Stretch","Medium","Low","Silent","None",true,"High","Low","Low","None","Relaxing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
33,"Wall Standing Marches","Stand facing a wall for balance and lift your knees high in a marching motion.",60,"Stability","Medium","Low","Low","Low",true,"High","Low","High","None","Neutral","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
34,"Wall Glute Kickbacks","Face a wall and kick one leg back while keeping it straight to activate the glutes.",60,"Activate","Easy","Low","Low","Low",true,"Moderate","Low","Moderate","None","Energizing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
35,"Wall Side Plank","Lean sideways against a wall with one forearm for an isometric core hold.",45,"Stability","Medium","Moderate","Silent","Low",true,"High","Moderate","Low","None","Neutral","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
36,"Wall Standing Fold","Place hands on a wall and walk feet back until body forms an L-shape to stretch the back.",60,"Stretch","Medium","Low","Silent","None",true,"High","Low","Low","None","Relaxing","Wall","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
37,"Standing Marches","Lift knees high while standing in place to engage the core and lower body.",60,"Cardio","Easy","Moderate","Noticeable","Low",true,"Moderate","Low","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
38,"Shadow Boxing","Throw controlled punches in the air to improve arm mobility and heart rate.",120,"Cardio","Medium","Moderate","Noticeable","High",true,"Low","Low","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
39,"Jumping Jacks","Perform standard jumping jacks to engage the full body and increase intensity.",60,"Cardio","Medium","High","Noticeable","High",false,"Low","Moderate","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
40,"Neck Rotations","Slowly roll your head in a circular motion to improve neck mobility.",45,"Mobility","Easy","Very Low","Silent","None",true,"Very High","Low","High","None","Relaxing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
41,"Shoulder Rolls","Rotate your shoulders forward and backward to release tension and improve posture.",45,"Mobility","Easy","Very Low","Silent","None",true,"Very High","Low","High","None","Relaxing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
42,"Forward Fold","Bend forward at the waist while standing to stretch the entire posterior chain.",60,"Stretch","Easy","Very Low","Silent","None",true,"High","Moderate","Low","None","Relaxing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
43,"Standing Quad Stretch","Pull one heel toward your glutes while standing to stretch the front of the thigh.",45,"Stretch","Easy","Very Low","Silent","None",true,"Moderate","Low","Moderate","None","Relaxing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
44,"Standing Calf Raises","Lift your heels off the ground while standing to strengthen the lower legs.",60,"Strength","Easy","Low","Low","Low",true,"Moderate","Low","Moderate","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
45,"High Knees","Run in place while bringing your knees up toward your chest for a high-intensity burn.",60,"Burn","Hard","Very High","Noticeable","High",false,"Moderate","Moderate","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
46,"Side Lunges","Step out to the side and bend one knee while keeping the other straight to engage glutes.",60,"Mobility","Medium","Moderate","Noticeable","Moderate",true,"Moderate","Moderate","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
47,"Arm Circles","Extend arms to the sides and make small or large circular motions.",60,"Mobility","Easy","Very Low","Low","Low",true,"High","Low","Moderate","None","Neutral","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
48,"Standing Oblique Crunch","Bring your elbow toward the same-side knee while standing to engage the side abs.",60,"Strength","Medium","Moderate","Low","Low",true,"Moderate","Low","Low","None","Energizing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
49,"Standing Cat-Cow","Arch and round your spine while standing with hands on knees for spinal mobility.",60,"Mobility","Easy","Very Low","Low","None",true,"Very High","Low","Low","None","Relaxing","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
50,"Standing Glute Hold","Contract and hold your glutes while standing for an isometric activation.",45,"Activate","Easy","Low","Silent","None",true,"Moderate","Low","High","None","Neutral","None","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
